,Text,Text_tok,Gold_iob
20106,"During infancy, the baby doubles in length and triples in weight.","['During', 'infancy', ',', 'the', 'baby', 'doubles', 'in', 'length', 'and', 'triples', 'in', 'weight', '.']","['O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
1368,"In this way, the metal can change shape without breaking.","['In', 'this', 'way', ',', 'the', 'metal', 'can', 'change', 'shape', 'without', 'breaking', '.']","['O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
3311,It runs parallel to the coast like a barrier island.,"['It', 'runs', 'parallel', 'to', 'the', 'coast', 'like', 'a', 'barrier', 'island', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']"
78,"All the atoms of a particular element have the exact same number of protons, and the number of protons is that elements atomic number.","['All', 'the', 'atoms', 'of', 'a', 'particular', 'element', 'have', 'the', 'exact', 'same', 'number', 'of', 'protons', ',', 'and', 'the', 'number', 'of', 'protons', 'is', 'that', 'elements', 'atomic', 'number', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
16959,"In some areas, dense saltwater and less dense freshwater mix, and they form an immiscible layer, just like oil and water.","['In', 'some', 'areas', ',', 'dense', 'saltwater', 'and', 'less', 'dense', 'freshwater', 'mix', ',', 'and', 'they', 'form', 'an', 'immiscible', 'layer', ',', 'just', 'like', 'oil', 'and', 'water', '.']","['O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
15609,Aristotle introduced the idea of empiricism around 350 BCE.,"['Aristotle', 'introduced', 'the', 'idea', 'of', 'empiricism', 'around', '350', 'BCE', '.']","['B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
16150,"For example, if all of the wolves are removed from a population, then the population of deer or rabbits may increase.","['For', 'example', ',', 'if', 'all', 'of', 'the', 'wolves', 'are', 'removed', 'from', 'a', 'population', ',', 'then', 'the', 'population', 'of', 'deer', 'or', 'rabbits', 'may', 'increase', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
2968,The products are carbon dioxide gas and water vapor.,"['The', 'products', 'are', 'carbon', 'dioxide', 'gas', 'and', 'water', 'vapor', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O']"
8293,"A diode is an electronic component that consists of a p-type and an n-type semiconductor placed side by side, as shown in the Figure 1.2.","['A', 'diode', 'is', 'an', 'electronic', 'component', 'that', 'consists', 'of', 'a', 'p', '-', 'type', 'and', 'an', 'n', '-', 'type', 'semiconductor', 'placed', 'side', 'by', 'side', ',', 'as', 'shown', 'in', 'the', 'Figure', '1.2', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
6388,"Coral reefs are the rain- forests of the oceans, with a tremendous amount of species diversity.","['Coral', 'reefs', 'are', 'the', 'rain-', 'forests', 'of', 'the', 'oceans', ',', 'with', 'a', 'tremendous', 'amount', 'of', 'species', 'diversity', '.']","['B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
3716,"A vibrating electric field, in turn, creates a vibrating magnetic field (you can learn how this happens in the chapter ""Electromagnetism"").","['A', 'vibrating', 'electric', 'field', ',', 'in', 'turn', ',', 'creates', 'a', 'vibrating', 'magnetic', 'field', '(', 'you', 'can', 'learn', 'how', 'this', 'happens', 'in', 'the', 'chapter', '""', 'Electromagnetism', '""', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
15757,Plant-like protists are known as algae.,"['Plant', '-', 'like', 'protists', 'are', 'known', 'as', 'algae', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']"
25715,"If a raise in body temperature (stimulus) is detected (recep- tor), a signal will cause the brain to main- tain homeostasis (response).","['If', 'a', 'raise', 'in', 'body', 'temperature', '(', 'stimulus', ')', 'is', 'detected', '(', 'recep-', 'tor', ')', ',', 'a', 'signal', 'will', 'cause', 'the', 'brain', 'to', 'main-', 'tain', 'homeostasis', '(', 'response', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
24597,Age of organisms at first reproduction.,"['Age', 'of', 'organisms', 'at', 'first', 'reproduction', '.']","['B', 'I', 'I', 'I', 'I', 'I', 'O']"
18798,Antarctica drifted over the south polar region and the continent began to grow a permanent ice cap in the Oligocene.,"['Antarctica', 'drifted', 'over', 'the', 'south', 'polar', 'region', 'and', 'the', 'continent', 'began', 'to', 'grow', 'a', 'permanent', 'ice', 'cap', 'in', 'the', 'Oligocene', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O']"
1727,"However, most primate species are omnivorous and consume a variety of plant and animal foods.","['However', ',', 'most', 'primate', 'species', 'are', 'omnivorous', 'and', 'consume', 'a', 'variety', 'of', 'plant', 'and', 'animal', 'foods', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4175,Contact metamorphism: Changes in a rock that is in contact with magma.,"['Contact', 'metamorphism', ':', 'Changes', 'in', 'a', 'rock', 'that', 'is', 'in', 'contact', 'with', 'magma', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O']"
4956,"Because of its biodiversity, the rainforest shown above is an ecosystem with extreme importance.","['Because', 'of', 'its', 'biodiversity', ',', 'the', 'rainforest', 'shown', 'above', 'is', 'an', 'ecosystem', 'with', 'extreme', 'importance', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1812,"The element neon, on the other hand, is a gas that gives off a red glow when electricity flows through it.","['The', 'element', 'neon', ',', 'on', 'the', 'other', 'hand', ',', 'is', 'a', 'gas', 'that', 'gives', 'off', 'a', 'red', 'glow', 'when', 'electricity', 'flows', 'through', 'it', '.']","['O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14523,The exchange of gasses between the lungs and the blood happens in tiny sacs called alveoli.,"['The', 'exchange', 'of', 'gasses', 'between', 'the', 'lungs', 'and', 'the', 'blood', 'happens', 'in', 'tiny', 'sacs', 'called', 'alveoli', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']"
11866,Waves of energy radiate out from an earthquakes focus.,"['Waves', 'of', 'energy', 'radiate', 'out', 'from', 'an', 'earthquakes', 'focus', '.']","['B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
1831,The smallest particle of an element that still has the properties of that element is the atom.,"['The', 'smallest', 'particle', 'of', 'an', 'element', 'that', 'still', 'has', 'the', 'properties', 'of', 'that', 'element', 'is', 'the', 'atom', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']"
9197,"Even if the ground is too wet to absorb more water, plants still slow the waters passage and increase the time between rainfall and the waters arrival in a stream; this could keep all the water falling over a region from hitting the stream at once.","['Even', 'if', 'the', 'ground', 'is', 'too', 'wet', 'to', 'absorb', 'more', 'water', ',', 'plants', 'still', 'slow', 'the', 'waters', 'passage', 'and', 'increase', 'the', 'time', 'between', 'rainfall', 'and', 'the', 'waters', 'arrival', 'in', 'a', 'stream', ';', 'this', 'could', 'keep', 'all', 'the', 'water', 'falling', 'over', 'a', 'region', 'from', 'hitting', 'the', 'stream', 'at', 'once', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
24192,"For example, low pressure is likely to bring stormy weather.","['For', 'example', ',', 'low', 'pressure', 'is', 'likely', 'to', 'bring', 'stormy', 'weather', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']"
21738,"After burial, the company covered the containers with soil and sold the land to the local school system for $1.","['After', 'burial', ',', 'the', 'company', 'covered', 'the', 'containers', 'with', 'soil', 'and', 'sold', 'the', 'land', 'to', 'the', 'local', 'school', 'system', 'for', '$', '1', '.']","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
19515,"Other animal-like protists must ""swallow"" their food through a process called endocytosis.","['Other', 'animal', '-', 'like', 'protists', 'must', '""', 'swallow', '""', 'their', 'food', 'through', 'a', 'process', 'called', 'endocytosis', '.']","['O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8275,"Types of electronic components include diodes, transistors, and integrated circuits, all of which you can read about below.","['Types', 'of', 'electronic', 'components', 'include', 'diodes', ',', 'transistors', ',', 'and', 'integrated', 'circuits', ',', 'all', 'of', 'which', 'you', 'can', 'read', 'about', 'below', '.']","['O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
10847,"Usually, the parents take turns incubating the eggs.","['Usually', ',', 'the', 'parents', 'take', 'turns', 'incubating', 'the', 'eggs', '.']","['B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
12779,"The stomach also releases a very strong acid, called hydrochloric acid.","['The', 'stomach', 'also', 'releases', 'a', 'very', 'strong', 'acid', ',', 'called', 'hydrochloric', 'acid', '.']","['B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']"
14351,Volatile organic compounds (VOCs) enter the atmosphere by evaporation.,"['Volatile', 'organic', 'compounds', '(', 'VOCs', ')', 'enter', 'the', 'atmosphere', 'by', 'evaporation', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']"
11462,"For example, slime molds (including D. discoideum, a soil-living protist) are used to analyze the chemical signals in cells.","['For', 'example', ',', 'slime', 'molds', '(', 'including', 'D.', 'discoideum', ',', 'a', 'soil', '-', 'living', 'protist', ')', 'are', 'used', 'to', 'analyze', 'the', 'chemical', 'signals', 'in', 'cells', '.']","['O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
17752,"About half of most soils are inorganic materials, such as the products of weathered rock, including pebbles, sand, silt, and clay particles.","['About', 'half', 'of', 'most', 'soils', 'are', 'inorganic', 'materials', ',', 'such', 'as', 'the', 'products', 'of', 'weathered', 'rock', ',', 'including', 'pebbles', ',', 'sand', ',', 'silt', ',', 'and', 'clay', 'particles', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4895,"This trench plunges about 11 kilometers (35,840 feet) beneath sea level.","['This', 'trench', 'plunges', 'about', '11', 'kilometers', '(', '35,840', 'feet', ')', 'beneath', 'sea', 'level', '.']","['O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14489,"If an egg is not fertilized, the system must prepare itself again the next cycle.","['If', 'an', 'egg', 'is', 'not', 'fertilized', ',', 'the', 'system', 'must', 'prepare', 'itself', 'again', 'the', 'next', 'cycle', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']"
14086,"To create the wide variety of silicate minerals, this pyramid-shaped structure is often bound to other elements, such as calcium, iron, and magnesium.","['To', 'create', 'the', 'wide', 'variety', 'of', 'silicate', 'minerals', ',', 'this', 'pyramid', '-', 'shaped', 'structure', 'is', 'often', 'bound', 'to', 'other', 'elements', ',', 'such', 'as', 'calcium', ',', 'iron', ',', 'and', 'magnesium', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
7003,"For example, if you put granulated sugar in a glass of iced tea, it will dissolve more quickly than the same amount of sugar in a cube (see Figure 1.1).","['For', 'example', ',', 'if', 'you', 'put', 'granulated', 'sugar', 'in', 'a', 'glass', 'of', 'iced', 'tea', ',', 'it', 'will', 'dissolve', 'more', 'quickly', 'than', 'the', 'same', 'amount', 'of', 'sugar', 'in', 'a', 'cube', '(', 'see', 'Figure', '1.1', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
24033,"The wavelength of a transverse wave can be measured as the distance between two adjacent crests, or high points, as shown in the Figure 1.1.","['The', 'wavelength', 'of', 'a', 'transverse', 'wave', 'can', 'be', 'measured', 'as', 'the', 'distance', 'between', 'two', 'adjacent', 'crests', ',', 'or', 'high', 'points', ',', 'as', 'shown', 'in', 'the', 'Figure', '1.1', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
16528,"He, where He is the chemical symbol for helium, the subscript 2 is the number of protons, and the superscript 4 is the mass number (2 protons + 2 neutrons).","['He', ',', 'where', 'He', 'is', 'the', 'chemical', 'symbol', 'for', 'helium', ',', 'the', 'subscript', '2', 'is', 'the', 'number', 'of', 'protons', ',', 'and', 'the', 'superscript', '4', 'is', 'the', 'mass', 'number', '(', '2', 'protons', '+', '2', 'neutrons', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
15404,"The idea that RNA is the most primitive organic molecule is called the RNA world hypothesis, referring to the possibility that the RNA is more ancient than DNA.","['The', 'idea', 'that', 'RNA', 'is', 'the', 'most', 'primitive', 'organic', 'molecule', 'is', 'called', 'the', 'RNA', 'world', 'hypothesis', ',', 'referring', 'to', 'the', 'possibility', 'that', 'the', 'RNA', 'is', 'more', 'ancient', 'than', 'DNA', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'O']"
7765,B. The newly hardened rock is gradually pushed away from the ridge in both directions as more magma erupts and newer rock forms.,"['B.', 'The', 'newly', 'hardened', 'rock', 'is', 'gradually', 'pushed', 'away', 'from', 'the', 'ridge', 'in', 'both', 'directions', 'as', 'more', 'magma', 'erupts', 'and', 'newer', 'rock', 'forms', '.']","['O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
19632,Artificial selection occurs when humans select which plants or animals to breed in order to pass on specific traits to the next generation.,"['Artificial', 'selection', 'occurs', 'when', 'humans', 'select', 'which', 'plants', 'or', 'animals', 'to', 'breed', 'in', 'order', 'to', 'pass', 'on', 'specific', 'traits', 'to', 'the', 'next', 'generation', '.']","['B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
17851,The Ogallala Aquifer supplies about one-third of the irrigation water in the United States.,"['The', 'Ogallala', 'Aquifer', 'supplies', 'about', 'one', '-', 'third', 'of', 'the', 'irrigation', 'water', 'in', 'the', 'United', 'States', '.']","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
11961,Other halogen gases besides neonincluding krypton and argonalso produce light in this way.,"['Other', 'halogen', 'gases', 'besides', 'neonincluding', 'krypton', 'and', 'argonalso', 'produce', 'light', 'in', 'this', 'way', '.']","['O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1292,The output distance may or may not be the same as the input distance.,"['The', 'output', 'distance', 'may', 'or', 'may', 'not', 'be', 'the', 'same', 'as', 'the', 'input', 'distance', '.']","['B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
18693,"Unlike terrestrial biomes, which are determined mainly by temperature and moisture, aquatic biomes are determined mainly by sunlight and dissolved substances in the water.","['Unlike', 'terrestrial', 'biomes', ',', 'which', 'are', 'determined', 'mainly', 'by', 'temperature', 'and', 'moisture', ',', 'aquatic', 'biomes', 'are', 'determined', 'mainly', 'by', 'sunlight', 'and', 'dissolved', 'substances', 'in', 'the', 'water', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'O']"
11840,"New World species, including tamarins (squirrel-sized monkeys) and marmosets (very small primitive monkeys), form pair bonds, which is a partnership between a mating pair that lasts at least one season.","['New', 'World', 'species', ',', 'including', 'tamarins', '(', 'squirrel', '-', 'sized', 'monkeys', ')', 'and', 'marmosets', '(', 'very', 'small', 'primitive', 'monkeys', ')', ',', 'form', 'pair', 'bonds', ',', 'which', 'is', 'a', 'partnership', 'between', 'a', 'mating', 'pair', 'that', 'lasts', 'at', 'least', 'one', 'season', '.']","['B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2712,Sulfur oxides are chemicals that are released from coal-fired power plants.,"['Sulfur', 'oxides', 'are', 'chemicals', 'that', 'are', 'released', 'from', 'coal', '-', 'fired', 'power', 'plants', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O']"
23402,William Herschel first discovered the planet in 1781.,"['William', 'Herschel', 'first', 'discovered', 'the', 'planet', 'in', '1781', '.']","['B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
21108,"The sheath covers the axon, like the plastic covering on an electrical wire, and allows nerve impulses to travel faster along the axon.","['The', 'sheath', 'covers', 'the', 'axon', ',', 'like', 'the', 'plastic', 'covering', 'on', 'an', 'electrical', 'wire', ',', 'and', 'allows', 'nerve', 'impulses', 'to', 'travel', 'faster', 'along', 'the', 'axon', '.']","['O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20841,An adult male may produce millions of sperm each day!,"['An', 'adult', 'male', 'may', 'produce', 'millions', 'of', 'sperm', 'each', 'day', '!']","['O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O']"
24891,Convection happens in a liquid or a gas.,"['Convection', 'happens', 'in', 'a', 'liquid', 'or', 'a', 'gas', '.']","['O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O']"
15287,"Oil from the ground is called crude oil, which is a mixture of many different hydrocarbons.","['Oil', 'from', 'the', 'ground', 'is', 'called', 'crude', 'oil', ',', 'which', 'is', 'a', 'mixture', 'of', 'many', 'different', 'hydrocarbons', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']"
9063,The cochlea is a shell-like structure that is full of fluid and lined with nerve cells called hair cells.,"['The', 'cochlea', 'is', 'a', 'shell', '-', 'like', 'structure', 'that', 'is', 'full', 'of', 'fluid', 'and', 'lined', 'with', 'nerve', 'cells', 'called', 'hair', 'cells', '.']","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
